;Maya 3;;
Dic/2007;77,69006916;;
Ene/2008;78,87923028;;
Feb/2008;79,71430948;;
Mar/2008;87,17737004;;
Abr/2008;93,0289732;;
May/2008;102,8846036;;
Jun/2008;112,2910468;;
Jul/2008;118,0266343;;
Ago/2008;105,2094724;;
Sep/2008;83,84105422;;
Oct/2008;58,68540742;;
Nov/2008;40,59231571;;
Dic/2008;32,91693636;;
Ene/2009;37,23083244;;
Feb/2009;37,84829721;;
Mar/2009;41,67859934;;
Abr/2009;47,49027138;;
May/2009;56,01616579;;
Jun/2009;63,6413652;;
Jul/2009;60,19198027;;
Ago/2009;66,40484337;;
Sep/2009;64,10880211;;
Oct/2009;67,93315958;;
Nov/2009;71,53423866;;
Dic/2009;68,49302911;;
Ene/2010;70,86645191;;
Feb/2010;69,13471441;;
Mar/2010;70,09365983;;
Abr/2010;72,29207714;;
May/2010;66,10176348;;
Jun/2010;65,54075066;;
Jul/2010;66,92377402;;
Ago/2010;68,24548515;;
Sep/2010;68,3324745;;
Oct/2010;72,94253073;;
Nov/2010;75,75839204;;
Dic/2010;80,20866556;;
Ene/2011;84,32464049;;
Feb/2011;89,16192958;;
Mar/2011;99,43269993;;
Abr/2011;106,1040054;;
May/2011;101,8350905;;
Jun/2011;100,8286314;;
Jul/2011;102,5995929;;
Ago/2011;96,98859704;;
Sep/2011;97,63439541;;
Oct/2011;99,36600513;;
Nov/2011;105,8060996;;
Dic/2011;105,1269733;;
Ene/2012;107,4558184;;
Feb/2012;108,4514181;;
Mar/2012;109,6042625;;
Abr/2012;104,8937636;;
May/2012;100,2333578;;
Jun/2012;90,18184321;;
Jul/2012;94,01268297;;
Ago/2012;99,51216678;;
Sep/2012;100,0766281;;
Oct/2012;97,10862881;;
Nov/2012;93,68238826;;
Dic/2012;94,93994407;;
Ene/2013;97,98278238;;
Feb/2013;103,3529378;;
Mar/2013;100,7709019;;
Abr/2013;97,75538465;;
May/2013;97,90686137;;
Jun/2013;96,99315262;;
Jul/2013;99,67255473;;
Ago/2013;99,24413979;;
Sep/2013;98,145716;;
Oct/2013;93,87329271;;
Nov/2013;88,48589818;;
Dic/2013;89,40965915;;
Ene/2014;88,31080763;;
Feb/2014;90,82224026;;
Mar/2014;91,39522378;;
Abr/2014;93,88863016;;
May/2014;95,08630895;;
Jun/2014;97,01104616;;
Jul/2014;93,3201661;;
Ago/2014;89,50744865;;
Sep/2014;84,12824349;;
Oct/2014;72,50935785;;
Nov/2014;63,47980026;;
Dic/2014;50,18137525;;
Ene/2015;40,45127204;;
Feb/2015;45,98606029;;
Mar/2015;46,01733148;;
Abr/2015;49,32555079;;
May/2015;52,0391048;;
Jun/2015;52,82572539;;
Jul/2015;45,16594928;;
Ago/2015;38,41926618;;
Sep/2015;36,29036188;;
Oct/2015;34,86076818;;
Nov/2015;32,50882892;;
Dic/2015;26,19609555;;
Ene/2016;23,10238236;;
Feb/2016;23,72933001;;
Mar/2016;28,32656326;;
Abr/2016;31,33581838;;
May/2016;36,72636094;;
Jun/2016;39,80714565;;
Jul/2016;37,97152615;;
Ago/2016;37,7409033;;
Sep/2016;36,82666068;;
Oct/2016;40,66835633;;
Nov/2016;38,36162335;;
Dic/2016;42,32596222;;
Ene/2017;44,50008104;;
Feb/2017;44,17497054;;
Mar/2017;41,93242754;;
Abr/2017;43,22117983;;
May/2017;43,85074224;;
Jun/2017;41,15105027;;
Jul/2017;43,87771389;;
Ago/2017;45,55484158;;
Sep/2017;48,16236969;;
Oct/2017;48,89113544;;
Nov/2017;53,34504797;;
Dic/2017;54,05575551;;
Ene/2018;57,45399465;;
Feb/2018;56,15676166;;
Mar/2018;57,22458411;;
Abr/2018;58,1597321;;
May/2018;62,8992885;;
Jun/2018;64,63686462;;
Jul/2018;66,42161929;;
Ago/2018;64,26566559;;
Sep/2018;68,36348218;;
Oct/2018;71,15330415;;
Nov/2018;59,82583024;;
Dic/2018;51,86866879;;
Ene/2019;54,0566599;;
Feb/2019;57,37980963;;
Mar/2019;59,46449237;;
Abr/2019;62,07702999;;
